x,y,z
1.336111116803331722e+00,1.391350475436185556e-21,1.056357129912125714e+00
1.322224806569879840e+00,-1.446456655448185415e-05,1.052544622178421152e+00
1.308341089646612110e+00,-4.338531614980289610e-05,1.048562509806986176e+00
1.294459986617733538e+00,-8.675383548459188437e-05,1.044410826014621874e+00
1.280581518301929345e+00,-1.445616804524809285e-04,1.040089604235457044e+00
1.266705705749539002e+00,-2.168003751398700529e-04,1.035598878129423417e+00
1.252832570239665211e+00,-3.034614108390721134e-04,1.030938681590580108e+00
1.238962133277223154e+00,-4.045362450772380623e-04,1.026109048755281306e+00
1.225094416589932678e+00,-5.200163006613453109e-04,1.021110014010187417e+00
1.211229442125259848e+00,-6.498929647395919286e-04,1.015941612000118122e+00
1.197367232047310548e+00,-7.941575878794077852e-04,1.010603877635743775e+00
1.183507808733680555e+00,-9.528014831623538494e-04,1.005096846101115382e+00
1.169651194772266978e+00,-1.125815925296085691e-03,9.994205528610324851e-01
1.155797412958045056e+00,-1.313192149743583554e-03,9.935750336682475092e-01
1.141946486289812990e+00,-1.514921351869755357e-03,9.875603245705063538e-01
1.128098437966911005e+00,-1.730994686105570383e-03,9.813764619174253356e-01
1.114253291385916000e+00,-1.961403265129765382e-03,9.750234823672042639e-01
1.100411070137317759e+00,-2.206138159068251042e-03,9.685014228931763114e-01
1.086571798002178735e+00,-2.465190394711193767e-03,9.618103207901951279e-01
1.072735498948781396e+00,-2.738550954747809209e-03,9.549502136808596386e-01
1.058902197129267142e+00,-3.026210777018888132e-03,9.479211395215777491e-01
1.045071916876268991e+00,-3.328160753786987835e-03,9.407231366084705115e-01
1.031244682699542503e+00,-3.644391731024248376e-03,9.333562435831168624e-01
1.017420519282595803e+00,-3.974894507717782396e-03,9.258204994381418196e-01
1.003599451479324278e+00,-4.319659835192521044e-03,9.181159435226485810e-01
9.897815043106508170e-01,-4.678678416451428380e-03,9.102426155474969693e-01
9.759667029611744926e-01,-5.051940905532962406e-03,9.022005555904299978e-01
9.621550727758306776e-01,-5.439437906885630919e-03,8.939898041010502228e-01
9.483466392565647052e-01,-5.841159974759505165e-03,8.856104019056479926e-01
9.345414280590211842e-01,-6.257097612614529944e-03,8.770623902118843684e-01
9.207394649892511884e-01,-6.687241272545434156e-03,8.683458106133304932e-01
9.069407760004394303e-01,-7.131581354723082189e-03,8.594607050938651849e-01
8.931453871896524177e-01,-7.590108206852036292e-03,8.504071160319346401e-01
8.793533247946110354e-01,-8.062812123644158210e-03,8.411850862046751365e-01
8.655646151904869967e-01,-8.549683346308010676e-03,8.317946587919021750e-01
8.517792848867266065e-01,-9.050712062053845389e-03,8.222358773799683940e-01
8.379973605239019463e-01,-9.565888403613968458e-03,8.125087859654924749e-01
8.242188688705910371e-01,-1.009520244877820140e-02,8.026134289589620385e-01
8.104438368202886434e-01,-1.063864421994425123e-02,7.925498511882130837e-01
7.975079548287521414e-01,-1.116237072993036920e-02,8.009036100396296209e-01
7.845749141394010584e-01,-1.169902873518030226e-02,8.090850828296951569e-01
7.716447194052712399e-01,-1.224861053896822080e-02,8.170943111571720152e-01
7.587173754477978260e-01,-1.281110846055462903e-02,8.249313361752305118e-01
7.457928872598057479e-01,-1.338651483431958951e-02,8.325961985969666523e-01
7.328712600085230955e-01,-1.397482200888039081e-02,8.400889387010629372e-01
7.199524990386156897e-01,-1.457602234619362162e-02,8.474095963375940510e-01
7.070366098752397521e-01,-1.519010822064161166e-02,8.545582109339814325e-01
6.941235982271108940e-01,-1.581707201810326688e-02,8.615348215010990574e-01
6.812134699895855405e-01,-1.645690613500931307e-02,8.683394666395330974e-01
6.683062312477533462e-01,-1.710960297738203448e-02,8.749721845459986769e-01
6.554018882795361600e-01,-1.777515495985955082e-02,8.814330130199152791e-01
6.425004475587908770e-01,-1.845355450470480968e-02,8.877219894701442460e-01
6.296019157584125114e-01,-1.914479404079940522e-02,8.938391509218899245e-01
6.167062997534342728e-01,-1.984886600262245060e-02,8.997845340237662359e-01
6.038136066241203137e-01,-2.056576282921465312e-02,9.055581750550312226e-01
5.909238436590469323e-01,-2.129547696312795654e-02,9.111601099329902365e-01
5.780370183581693411e-01,-2.203800084936093778e-02,9.165903742205699922e-01
5.651531384358681187e-01,-2.279332693428036752e-02,9.218490031340641488e-01
5.522722118239714595e-01,-2.356144766452928502e-02,9.269360315510508652e-01
5.393942466747494446e-01,-2.434235548592197929e-02,9.318514940184833284e-01
5.265192513638740079e-01,-2.513604284232636918e-02,9.365954247609534766e-01
5.136472344933407097e-01,-2.594250217453424046e-02,9.411678576891286951e-01
5.007782048943472120e-01,-2.676172591911993304e-02,9.455688264083603745e-01
4.879121716301230705e-01,-2.759370650728798502e-02,9.497983642274649974e-01
4.750491439987052922e-01,-2.843843636371041345e-02,9.538565041676747569e-01
4.621891315356553287e-01,-2.929590790535427716e-02,9.577432789717573725e-01
4.493321440167110659e-01,-3.016611354030022257e-02,9.614587211133028832e-01
4.364781914603690360e-01,-3.104904566655276518e-02,9.650028628061744218e-01
4.236272841303911907e-01,-3.194469667084309100e-02,9.683757360141209691e-01
4.107794325382307377e-01,-3.285305892742518968e-02,9.715773724605479833e-01
3.979346474453716032e-01,-3.377412479686622143e-02,9.746078036384430154e-01
3.850929398655763558e-01,-3.470788662483195036e-02,9.774670608204515387e-01
3.722543210670370417e-01,-3.565433674086823657e-02,9.801551750690987719e-01
3.594188025744233794e-01,-3.661346745717949935e-02,9.826721772471520566e-01
3.465863961708238739e-01,-3.758527106740517515e-02,9.850180980281190157e-01
3.337571138995742981e-01,-3.856973984539515538e-02,9.871929679068748298e-01
3.209309680659687136e-01,-3.956686604398527984e-02,9.891968172104124157e-01
3.081079712388487546e-01,-4.057664189377390568e-02,9.910296761087095119e-01
2.952881362520661246e-01,-4.159905960190066893e-02,9.926915746257043427e-01
2.824714762058145312e-01,-4.263411135082844500e-02,9.941825426503732022e-01
2.696580044678268395e-01,-4.368178929712972225e-02,9.955026099479015178e-01
2.568477346744339473e-01,-4.474208557027838790e-02,9.966518061709405130e-01
2.440406807314817461e-01,-4.581499227144808506e-02,9.976301608709402524e-01
2.312368568151030590e-01,-4.690050147231820260e-02,9.984377035095507447e-01
2.184362773723421136e-01,-4.799860521388863571e-02,9.990744634700817750e-01
2.056389571216288847e-01,-4.910929550530437893e-02,9.995404700690118105e-01
1.928449110531011979e-01,-5.023256432269097155e-02,9.998357525675363178e-01
1.800541544287732609e-01,-5.136840360800194738e-02,9.999603401831459459e-01
1.672667027825489872e-01,-5.251680526787919773e-02,9.999142621012245824e-01
1.544825719200796088e-01,-5.367776117252734402e-02,9.996975474866566236e-01
1.417017779184646942e-01,-5.485126315460300828e-02,9.993102254954339125e-01
1.289243371257969561e-01,-5.603730300811999437e-02,9.987523252862522405e-01
1.161502661605509218e-01,-5.723587248737117827e-02,9.980238760320864211e-01
1.033795819108162539e-01,-5.844696330586805072e-02,9.971249069317345004e-01
9.061230153337697379e-02,-5.967056713529870354e-02,9.960554472213207777e-01
7.784844245263815299e-02,-6.090667560450493956e-02,9.948155261857475340e-01
6.508802235940186476e-02,-6.215528029847938729e-02,9.934051731700861421e-01
5.233105920949490675e-02,-6.341637275738311319e-02,9.918244175908973448e-01
3.957757122225087631e-02,-6.468994447558448768e-02,9.900732889474712639e-01
2.682757687884965506e-02,-6.597598690071974914e-02,9.881518168329787022e-01
1.408109492051765575e-02,-6.727449143277586252e-02,9.860600309455240797e-01
1.338144346592543823e-03,-6.858544942319609594e-02,9.837979610990917889e-01
-1.140125558754365338e-02,-6.990885217400867602e-02,9.813656372343776413e-01
-2.413708537265878140e-02,-7.124469093697889666e-02,9.787630894294976347e-01
-3.686932524798766653e-02,-7.259295691278497276e-02,9.759903479105663804e-01
-4.959795520366740151e-02,-7.395364125021788859e-02,9.730474430621377513e-01
-6.232295498328589700e-02,-7.532673504540528253e-02,9.699344054375022006e-01
-7.504430408653864348e-02,-7.671222934105974278e-02,9.666512657688328680e-01
-8.776198177198843431e-02,-7.811011512575129212e-02,9.631980549771759215e-01
-1.004759670599227744e-01,-7.952038333320433916e-02,9.595748041822792507e-01
-1.131862387353033961e-01,-8.094302484161888800e-02,9.557815447122541830e-01
-1.258927753508025382e-01,-8.237803047301607562e-02,9.518183081130663359e-01
-1.385955552299202864e-01,-8.382539099260780113e-02,9.476851261578513874e-01
-1.512945564701774492e-01,-8.528509710819032197e-02,9.433820308560517676e-01
-1.639897569463783789e-01,-8.675713946956171985e-02,9.389090544623714951e-01
-1.766811343139380874e-01,-8.824150866796283410e-02,9.342662294855462735e-01
-1.893686660122682053e-01,-8.973819523554153743e-02,9.294535886969265137e-01
-2.020523292682162575e-01,-9.124718964483996553e-02,9.244711651388712870e-01
-2.147321010995527635e-01,-9.276848230830438136e-02,9.193189921329523173e-01
-2.274079583185010522e-01,-9.430206357781736881e-02,9.139971032879657953e-01
-2.400798775353042980e-01,-9.584792374425191164e-02,9.085055325077522337e-01
-2.527478351618249186e-01,-9.740605303704701068e-02,9.028443139988238109e-01
-2.654118074151712303e-01,-9.897644162380432598e-02,8.970134822777988681e-01
